trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
39,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8634546745254421,4.0455826626646285,0.0,4.632553529458179,0.2471831830872413,0.21586366863136053,1.145089327233507,12.951820117881631,155.42184141457957,11.450893272335069,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
40,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.084906997341255,4.072557167763336,0.0,3.6869519781904483,0.2455459699658934,0.27122674933531377,0.9053161997024431,16.273604960118824,195.2832595214259,0.18458147950693218,0.9053161997024431,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
41,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9685759594361654,3.029873888456465,0.0,4.12977419172009,0.33004674016628416,0.24214398985904131,1.3630185096000667,14.528639391542479,174.34367269850975,13.630185096000668,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
42,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1663390980289188,3.998939003890886,0.0,3.4295343496242996,0.250066329850748,0.2915847745072297,0.8576110679076206,17.495086470433783,209.9410376452054,0.11014574928000595,0.8576110679076206,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
43,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1001325510011246,4.2475391353198395,0.0,3.6359255040312966,0.2354304382235433,0.27503313775028115,0.8560075347622457,16.50198826501687,198.02385918020244,0.10851221481758426,0.8560075347622457,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
44,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9061833206910206,4.317412417549897,0.0,4.414117881743568,0.2316202167611065,0.22654583017275515,1.0223989405785214,13.592749810365309,163.11299772438372,10.223989405785215,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
45,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1661299006976005,3.664278930102626,0.0,3.430149589344314,0.2729049886963689,0.2915324751744001,0.9361049349068645,17.491948510464006,209.90338212556807,0.29244551995168416,0.9361049349068645,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
46,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.152382178748401,3.942564700587099,0.0,3.4710706862409038,0.253642001068768,0.28809554468710025,0.8804093147092845,17.285732681226015,207.42879217471219,0.13820861759453118,0.8804093147092845,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
47,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9437391895150873,4.272621213325149,0.0,4.238459146806527,0.23404836283667524,0.23593479737877182,0.992004424260199,14.15608784272631,169.87305411271572,2.6244644641096997,0.992004424260199,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
48,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.894164051965122,3.856611020550363,0.0,4.473452037362854,0.25929501177883724,0.2235410129912805,1.1599437987200647,13.412460779476831,160.94952935372197,11.599437987200647,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
49,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0912477519874877,4.92427039796705,0.0,3.665528742409601,0.2030757694404521,0.2728119379968719,0.7443800697709225,16.368716279812315,196.42459535774776,0.04622298430949608,0.7443800697709225,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
50,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8198762418046549,4.410884219704,0.0,4.878785109317811,0.2267119131200199,0.20496906045116375,1.1060787058349064,12.298143627069825,147.5777235248379,11.060787058349064,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
51,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8499541012375542,3.002547492501781,0.0,4.706136477459078,0.333050518766909,0.21248852530938853,1.5673811952056198,12.749311518563312,152.99173822275975,15.673811952056198,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
52,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.7536811348755028,3.046558962964506,0.0,5.307284227912567,0.32823917480557574,0.18842028371887568,1.7420585954286683,11.30521702313254,135.66260427759048,17.420585954286683,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
53,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1434621887510692,4.380600406936749,0.0,3.4981480274122094,0.22827920994950476,0.2858655471877673,0.7985544679840777,17.151932831266038,205.82319397519245,0.0675016934986461,0.7985544679840777,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
54,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0824254282960162,3.8252901950910054,0.0,3.69540468602711,0.2614180752308152,0.27060635707400404,0.966045580220142,16.236381424440243,194.83657709328293,0.586087072818208,0.966045580220142,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
55,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1025826893131676,4.678941898424533,0.0,3.6278458194294,0.21372353444626324,0.2756456723282919,0.7753560309545514,16.538740339697515,198.4648840763702,0.057065127906535854,0.7753560309545514,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
56,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.140364515510984,3.3460308189725243,0.0,3.5076503570506548,0.29886156287917065,0.285091128877746,1.0483018677418396,17.10546773266476,205.2656127919771,10.483018677418396,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
57,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.97945788776917,3.027653828104584,0.0,4.083891762932726,0.33028875055575113,0.2448644719422925,1.348863507783974,14.69186831653755,176.3024197984506,13.48863507783974,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
58,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0343705979764468,3.7761647002274246,0.0,3.867085943689094,0.26481895769529695,0.2585926494941117,1.0240776689258797,15.515558969646703,186.18670763576043,10.240776689258796,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
59,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8198984990638287,4.4721282086148975,0.0,4.878652668064711,0.22360718506988397,0.20497462476595718,1.0909017900396292,12.29847748595743,147.58172983148916,10.909017900396291,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
60,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8072650367679868,4.943455466755137,0.0,4.955002158912558,0.20228765217468334,0.2018162591919967,1.0023357532469086,12.108975551519801,145.3077066182376,10.023357532469085,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
61,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0842014808952358,4.767307758702111,0.0,3.689351168103147,0.2097619978854161,0.27105037022380896,0.7738856719222097,16.26302221342854,195.15626656114244,0.05647922765598223,0.7738856719222097,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
62,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9855481030715663,3.9681492238742777,0.0,4.0586552675953325,0.2520066518626677,0.24638702576789157,1.0228081250514793,14.783221546073493,177.39865855288193,10.228081250514792,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
63,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0326180532405944,4.625634566392733,0.0,3.8736491071864125,0.21618655465467143,0.2581545133101486,0.8374308544237746,15.489270798608917,185.87124958330702,0.09198627090318294,0.8374308544237746,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
64,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1324994287080128,3.140660915735228,0.0,3.532010611752195,0.31840431897306565,0.2831248571770032,1.1246074334405987,16.987491430620192,203.8498971674423,11.246074334405987,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
65,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0673591600002954,4.144544695169767,0.0,3.7475670326367863,0.2412810268798509,0.26683979000007385,0.9042168219356795,16.010387400004433,192.1246488000532,0.18202001341702487,0.9042168219356795,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
66,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0267897003289979,4.84859682602894,0.0,3.895637050818044,0.20624523669026368,0.25669742508224946,0.8034565856053282,15.401845504934968,184.82214605921962,0.07003732548912142,0.8034565856053282,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
67,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0296035803727068,3.79277029498148,0.0,3.884990375181133,0.2636595212009492,0.2574008950931767,1.0243147021905534,15.444053705590603,185.32864446708723,10.243147021905534,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
68,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9019750490313061,4.920201259326231,0.0,4.434712472696312,0.203243718558159,0.2254937622578265,0.9013274536870466,13.52962573546959,162.35550882563507,0.17556263218567636,0.9013274536870466,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
69,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.7654089172839698,3.4413701934582104,0.0,5.225964722483085,0.2905819321329992,0.19135222932099244,1.518570926318028,11.481133759259546,137.77360511111453,15.18570926318028,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
70,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9683586946161812,3.211267619066787,0.0,4.130700764333448,0.3114035074693045,0.24208967365404532,1.2863147063195728,14.525380419242719,174.3045650309126,12.863147063195727,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
71,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8572923364097647,4.049524672163402,0.0,4.665852977003749,0.24694256263557074,0.21432308410244116,1.1521976910221126,12.85938504614647,154.31262055375763,11.521976910221126,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
