Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (MJ);Sum Vert, force blocks (MJ);Sum Horiz, force blocks (MJ);Vert, force blocks row (MJ);Horiz, force blocks row (MJ);Total force blocks row (MJ);% Decrement blocks;% increase Distance;% increase Force
15;28292;4,08;149,34;149,34;7986,019;4264,267;3721,751;1703292;610887,2;1092647;72997,45;57672,13;130657,3;98;103;103,18
16;27997;4,08;159,29;159,29;8230,479;4495,477;3735,001;1838143;688574,1;1150565;76915,48;57918,48;134849,8;98;103,06;103,21
17;27704;4,08;169,25;169,25;8485,809;4719,435;3766,374;1977349;768994,4;1209003;80780,32;58435,77;139204;98;103,1;103,23
18;27412;4,08;179,2;179,2;8751,259;4938,03;3813,229;2121054;853872,1;1268218;84499,42;59211,36;143708,8;98;103,13;103,24
19;27122;4,08;189,15;189,15;9025,949;5149,768;3876,181;2269410;941298,8;1328450;88100,92;60230,24;148350;98;103,14;103,23
20;26833;4,08;199,11;199,11;9308,706;5353,559;3955,147;2422514;1032957;1389925;91653,26;61475,18;153111,1;98;103,13;103,21
21;26546;4,08;209,06;209,06;9598,178;5553,234;4044,944;2580485;1128193;1452848;95054,22;62924,24;157971,2;98;103,11;103,17
0;26260;4,1;0;218,98;9954,121;5818,555;4135,566;2744237;1229184;1516993;99625,34;64145,99;163763,2;;;
1;25981;4,13;9,83;228,81;9921,072;6006,152;3914,919;2907873;1332380;1577762;102837,2;60769,29;163638,8;98;99,67;98,78
2;25704;4,14;19,6;238,59;9896,689;6183,048;3713,641;3071477;1437703;1635396;105960,9;57635,16;163604,9;98;99,75;98,77
3;25427;4,15;29,38;248,37;9883,147;6358,429;3524,719;3235187;1545077;1690153;108986,6;54755,55;163710,5;98;99,86;98,76
4;25153;4,15;39,17;258,15;9880,989;6525,604;3355,385;3399171;1657741;1742291;111835,1;52138,09;163976;98;99,98;98,75
5;24879;4,15;48,95;267,93;9890,473;6689,615;3200,858;3563568;1772264;1792081;114584,1;49788,84;164411,3;98;100,1;98,75
6;24607;4,15;58,73;277,71;9911,723;6843,693;3068,03;3728590;1888572;1839793;117317,4;47710,57;165019,4;98;100,21;98,74
7;24337;4,15;68,51;287,5;10062,98;7086,586;2976,389;3896153;2011342;1885914;121411,1;46123,43;167565,4;98;101,53;100
8;24068;4,15;78,3;297,28;10110,91;7236,487;2874,426;4064736;2135743;1930506;123998,9;44592,15;168572,6;98;100,48;98,73
9;23801;4,15;88,08;307,06;10170,88;7375,889;2794,99;4234499;2261704;1973840;126397,1;43334,1;169758,7;98;100,59;98,72
10;23536;4,15;97,86;316,84;10242,79;7515,438;2727,354;4405631;2392261;2016189;128798,1;42346,56;171121,4;98;100,71;98,71
11;23271;4,15;107,64;326,63;10326,4;7645,446;2680,955;4578224;2521128;2057816;131014,9;41625,83;172658,5;98;100,82;98,71
12;23008;4,15;117,43;336,41;10421,44;7773,863;2647,576;4752589;2654372;2098983;133232,5;41166,75;174366,1;98;100,92;98,7
13;22747;4,15;127,21;346,19;10527,46;7891,987;2635,472;4928880;2791847;2139947;135244,6;40962,98;176238,1;98;101,02;98,69
14;22487;4,15;136,99;355,97;10644,08;8009,957;2634,119;5107079;2927506;2180953;137283,1;41006,48;178268,3;98;101,11;98,68
15;22229;4,15;146,77;365,76;10914,68;8232,136;2682,549;5289629;3069064;2222516;141018,4;41558,65;182593,1;98;102,54;100
16;21972;4,15;156,56;375,54;11054,23;8336,615;2717,617;5474638;3214561;2264599;142914,8;42080,04;184962,1;98;101,28;98,67
17;21717;4,15;166,34;385,32;11202,35;8441,721;2760,629;5662077;3358111;2307419;144628,8;42817,04;187460;98;101,34;98,66
18;21463;4,15;176,12;395,11;11358,09;8536,187;2821,899;5852130;3505392;2351175;146344,6;43752,91;190071;98;101,39;98,65
19;21211;4,15;185,9;404,89;11520,17;8632,342;2887,83;6044897;3650676;2396042;147916,2;44868,76;192776,6;98;101,43;98,64
0;20960;4,1;0;414,64;11647,91;8717,165;2930,748;8820119;4933194;3894470;149278,5;45571,8;194835,2;;;
1;20712;4,16;9,76;424,4;11557,8;8801,359;2756,444;9013745;5085397;3937386;150844,6;42914,16;193767,6;98;99,23;98,63
2;20466;4,17;19,46;434,1;11624,22;8999,993;2624,23;9208675;5237600;3978050;154356,6;40657,11;194997,5;98;100,57;100
3;20222;4,18;29,17;443,81;11553,26;9077,14;2476,125;9402863;5398417;4016488;155604,4;38432,1;194050,4;98;99,39;98,62
4;19979;4,18;38,88;453,52;11492,83;9145,235;2347,592;9596192;5556993;4052922;156808,4;36440,8;193252,7;98;99,48;98,61
5;19737;4,18;48,59;463,23;11443,24;9207,139;2236,097;9788591;5713344;4087609;157950,8;34687,51;192611,5;98;99,57;98,6
6;19497;4,18;58,3;472,94;11404,59;9270,662;2133,925;9980346;5867484;4120775;158957,5;33174,43;192132;98;99,66;98,59
