Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
30;14600;7,55;160,73;372,20;7069,534;5449,103;1620,431;8068136,000;4825240,000;3243773,000;100029,100;25186,170;125213,200;98;99,98;98,37
31;14390;7,55;166,09;377,56;7068,455;5436,171;1632,284;8193341,000;4923386,000;3269173,000;99798,100;25393,420;125189,800;98;99,98;98,35
0;14182;7,60;0,00;382,85;7153,813;5513,111;1640,703;12467240,000;6895999,000;5569252,000;101369,800;25417,670;126798,800
1;13976;7,45;5,43;388,28;7059,518;5498,890;1560,627;12592280,000;6999941,000;5593414,000;100733,000;24200,310;124946,700;98;98,68;98,34
2;13771;7,52;10,75;393,61;6966,150;5479,729;1486,422;12715920,000;7102144,000;5616429,000;100566,700;23045,320;123594,400;98;98,68;98,33
3;13568;7,54;16,09;398,94;6875,393;5461,749;1413,644;12838100,000;7202622,000;5638360,000;100243,900;21953,640;122181,300;98;98,70;98,31
4;13366;7,55;21,43;404,28;6787,141;5440,480;1346,661;12958860,000;7301389,000;5659265,000;99867,420;20926,220;120782,600;98;98,72;98,30
5;13166;7,55;26,77;409,62;6701,465;5416,277;1285,188;13078250,000;7398461,000;5679211,000;99453,600;19963,240;119410,900;98;98,74;98,28
6;12967;7,56;32,11;414,96;6618,365;5393,219;1225,146;13196310,000;7500666,000;5698251,000;99010,260;19064,890;118070,600;98;98,76;98,27
7;12770;7,56;37,45;420,30;6647,719;5462,472;1185,248;13314910,000;7602870,000;5716584,000;100287,900;18344,150;118628,100;98;100,44;100,00
8;12575;7,56;42,79;425,64;6569,957;5435,086;1134,870;13432290,000;7703290,000;5734158,000;99791,430;17573,010;117360,400;98;98,83;98,25
9;12380;7,56;48,13;430,99;6494,787;5406,455;1088,333;13548450,000;7801940,000;5751032,000;99266,070;16866,150;116127,400;98;98,86;98,24
10;12188;7,56;53,47;436,33;6422,211;5376,172;1046,038;13663410,000;7898836,000;5767260,000;98712,550;16222,870;114929,800;98;98,88;98,22
11;11997;7,56;58,81;441,67;6352,212;5344,049;1008,163;13777290,000;7993994,000;5782897,000;98130,300;15642,340;113766,800;98;98,91;98,21
12;11807;7,56;64,15;447,01;6284,693;5310,814;973,880;13890200,000;8093660,000;5798018,000;97522,060;15123,570;112638,300;98;98,94;98,19
13;11619;7,57;69,50;452,35;6219,682;5276,187;943,495;14002070,000;8191504,000;5812714,000;96887,120;14665,620;111544,200;98;98,97;98,17
14;11432;7,57;74,84;457,69;6157,051;5240,065;916,986;14112840,000;8287545,000;5827019,000;96222,460;14267,050;110483,600;98;98,99;98,16
15;11247;7,57;80,18;463,03;6209,958;5300,994;908,965;14224400,000;8383587,000;5841092,000;97347,910;14040,040;111380,300;98;100,86;100,00
16;11064;7,57;85,52;468,37;6152,333;5262,386;889,947;14334800,000;8477841,000;5854876,000;96641,020;13757,860;110389,700;98;99,07;98,14
17;10882;7,57;90,86;473,71;6096,973;5222,445;874,527;14444130,000;8576105,000;5868421,000;95908,840;13531,080;109430,200;98;99,10;98,12
18;10701;7,57;96,20;479,06;6043,691;5180,999;862,693;14552550,000;8672507,000;5881789,000;95153,790;13357,470;108499,900;98;99,13;98,10
19;10522;7,57;101,54;484,40;5992,418;5139,546;852,872;14660020,000;8767064,000;5895051,000;94375,220;13235,170;107597,700;98;99,15;98,09
20;10345;7,57;106,88;489,74;5943,000;5094,891;848,109;14766530,000;8863542,000;5908253,000;93558,560;13161,980;106721,800;98;99,18;98,07
21;10169;7,57;112,23;495,08;5895,350;5049,917;845,433;14872250,000;8959810,000;5921429,000;92735,340;13135,120;105870,300;98;99,20;98,05
22;9994;7,57;117,57;500,42;5849,238;5004,583;844,656;14977190,000;9054182,000;5934600,000;91890,790;13151,990;105041,000;98;99,22;98,03
23;9821;7,57;122,91;505,76;5923,023;5057,934;865,090;15083390,000;9148554,000;5947942,000;92873,030;13348,220;106218,300;98;101,26;100,00
24;9650;7,57;128,25;511,10;5880,131;5008,798;871,333;15188940,000;9241048,000;5961371,000;91987,820;13447,040;105430,600;98;99,28;98,01
25;9480;7,57;133,59;516,44;5838,193;4960,341;877,853;15293750,000;9331683,000;5974939,000;91078,940;13578,690;104655,600;98;99,29;97,99
0;9311;7,60;0,00;521,73;5776,931;4908,777;868,154;27736260,000;16218330,000;11532450,000;90264,800;13467,630;103738,800
1;9144;7,43;5,44;527,17;5674,540;4858,424;816,116;27836310,000;16305300,000;11545290,000;88983,840;12673,630;101653,800;98;98,23;97,95
2;8978;7,50;10,79;532,51;5573,578;4805,820;767,758;27935020,000;16390470,000;11557350,000;88129,260;11930,510;100063,300;98;98,22;97,93
3;8813;7,52;16,14;537,87;5475,162;4752,304;722,858;28032280,000;16473860,000;11568640,000;87179,370;11239,400;98424,840;98;98,23;97,91
4;8650;7,53;21,50;543,22;5490,678;4799,850;690,828;28130060,000;16566510,000;11579300,000;88069,340;10677,990;98745,700;98;100,28;100,00
5;8489;7,53;26,85;548,58;5396,918;4744,357;652,561;28226400,000;16657200,000;11589360,000;87070,970;10090,060;97151,910;98;98,29;97,88
6;8329;7,53;32,21;553,94;5305,727;4688,701;617,026;28321330,000;16745960,000;11598890,000;86042,020;9555,108;95591,880;98;98,31;97,86
7;8171;7,54;37,57;559,29;5217,103;4631,439;585,663;28414870,000;16832790,000;11607960,000;84999,340;9072,760;94067,010;98;98,33;97,84
8;8014;7,54;42,92;564,65;5131,000;4573,870;557,130;28507110,000;16917720,000;11616660,000;83938,900;8642,490;92578,000;98;98,35;97,81
9;7859;7,54;48,28;570,01;5047,449;4514,976;532,473;28598060,000;17000780,000;11625020,000;82862,930;8263,457;91124,830;98;98,37;97,79
10;7705;7,54;53,64;575,37;4966,330;4455,299;511,030;28687830,000;17081980,000;11633060,000;81772,660;7934,700;89707,350;98;98,39;97,76
11;7552;7,54;59,00;580,72;4887,667;4395,583;492,083;28776520,000;17161350,000;11640810,000;80668,910;7655,106;88325,360;98;98,42;97,74
12;7402;7,54;64,36;586,08;4922,273;4435,792;486,481;28866280,000;17240710,000;11648360,000;81413,220;7497,784;88913,210;98;100,71;100,00
13;7253;7,54;69,71;591,44;4848,151;4374,624;473,528;28955150,000;17318270,000;11655690,000;80279,550;7313,711;87596,380;97;98,49;97,71
14;7105;7,54;75,07;596,80;4776,247;4311,671;464,576;29043040,000;17394030,000;11662820,000;79134,520;7174,609;86312,320;97;98,52;97,69
15;6959;7,54;80,43;602,16;4706,462;4249,045;457,417;29129730,000;17475410,000;11669770,000;77977,200;7078,436;85059,450;97;98,54;97,66
16;6814;7,54;85,79;607,51;4638,667;4185,074;453,593;29215080,000;17554870,000;11676610,000;76809,110;7023,096;83836,480;97;98,56;97,63
17;6671;7,54;91,15;612,87;4572,759;4120,558;452,201;29298950,000;17628770,000;11683400,000;75630,520;7006,090;82641,440;97;98,58;97,60
18;6529;7,54;96,50;618,23;4508,542;4056,317;452,225;29381180,000;17697570,000;11690200,000;74445,230;7024,577;81471,950;97;98,60;97,58
19;6389;7,54;101,86;623,59;4445,839;3990,740;455,099;29461630,000;17764680,000;11697030,000;73247,660;7075,232;80325,420;97;98,61;97,55
20;6250;7,54;107,22;628,95;4496,909;4025,501;471,408;29542180,000;17845210,000;11704080,000;73876,840;7251,239;81131,130;97;101,15;100,00
0;6113;7,60;0,00;634,25;4421,780;3958,353;463,427;57254800,000;34053270,000;23230910,000;72785,680;7166,952;79957,270
1;5978;7,43;5,45;639,69;4321,427;3892,138;429,289;57331350,000;34129830,000;23238210,000;71271,280;6649,027;77918,990;97;97,73;97,48
2;5844;7,49;10,80;645,04;4222,871;3824,287;398,584;57405960,000;34204430,000;23244810,000;70129,950;6173,095;76298,290;97;97,72;97,45
3;5711;7,51;16,16;650,40;4126,804;3756,909;369,895;57478630,000;34277110,000;23250720,000;68911,520;5739,909;74647,090;97;97,73;97,42
4;5580;7,52;21,52;655,76;4033,233;3688,599;344,634;57549410,000;34347890,000;23255970,000;67668,570;5349,708;73019,420;97;97,73;97,39
5;5450;7,52;26,88;661,12;3942,157;3620,032;322,125;57618320,000;34416790,000;23260550,000;66418,980;5002,389;71424,400;97;97,74;97,35
6;5322;7,53;32,24;666,48;3853,591;3551,760;301,831;57685370,000;34483850,000;23264590,000;65171,480;4697,564;69864,550;97;97,75;97,32
7;5195;7,53;37,60;671,85;3870,945;3580,122;290,823;57752420,000;34550900,000;23268240,000;65696,480;4482,020;70176,090;97;100,45;100,00
8;5071;7,53;42,96;677,21;3786,700;3510,787;275,914;57817660,000;34616130,000;23271570,000;64421,600;4260,130;68678,810;97;97,82;97,28
9;4947;7,53;48,33;682,57;3704,866;3440,775;264,091;57881080,000;34679560,000;23274650,000;63141,050;4078,497;67217,650;97;97,84;97,24
10;4825;7,53;53,69;687,93;3625,372;3370,914;254,459;57942740,000;34741220,000;23277580,000;61856,950;3935,742;65792,200;97;97,85;97,20
11;4705;7,53;59,05;693,30;3548,136;3300,640;247,496;58002650,000;34801120,000;23280410,000;60570,360;3830,291;64401,450;97;97,87;97,16
12;4586;7,53;64,41;698,66;3473,090;3230,716;242,374;58060830,000;34859310,000;23283230,000;59282,230;3760,281;63044,150;97;97,88;97,12
13;4468;7,54;69,78;704,02;3400,075;3160,275;239,800;58117320,000;34915800,000;23286100,000;57993,510;3723,593;61719,020;97;97,90;97,08
14;4352;7,54;75,14;709,38;3328,989;3090,217;238,772;58172130,000;34970600,000;23289120,000;56703,770;3717,743;60424,110;97;97,91;97,04
15;4238;7,54;80,50;714,75;3361,015;3113,450;247,564;58227150,000;35025420,000;23292400,000;57134,690;3799,986;60935,470;97;100,96;100,00
16;4125;7,54;85,86;720,11;3292,878;3042,358;250,520;58281160,000;35078580,000;23295940,000;55832,110;3849,454;59682,860;97;97,97;96,99
0;4014;7,60;0,00;725,41;3216,897;2971,356;245,541;115526100,000;69104860,000;46518840,000;54642,090;3798,485;58438,140
1;3906;7,54;5,36;730,78;3124,332;2900,368;223,964;115592700,000;69154800,000;46518840,000;53236,520;3467,306;56701,110;97;97,12;96,90
2;3799;7,61;10,63;736,04;3033,707;2829,255;204,452;115657200,000;69203180,000;46518840,000;51994,950;3169,394;55165,610;97;97,10;96,85
3;3694;7,63;15,90;741,31;2945,501;2758,457;187,045;115719700,000;69249990,000;46518840,000;50708,810;2905,226;53616,350;97;97,09;96,80
4;3590;7,64;21,18;746,59;2859,700;2687,684;172,016;115780100,000;69295290,000;46518840,000;49417,570;2674,816;52094,140;97;97,09;96,75
5;3488;7,64;26,45;751,87;2869,757;2706,645;163,112;115840500,000;69340590,000;46518840,000;49771,430;2509,130;52282,300;97;100,35;100,00
6;3388;7,65;31,73;757,14;2787,806;2635,657;152,149;115898900,000;69384390,000;46518840,000;48467,630;2344,760;50813,390;97;97,14;96,69
7;3289;7,65;37,01;762,42;2708,219;2564,776;143,443;115955300,000;69426720,000;46518840,000;47166,500;2212,613;49380,600;97;97,15;96,64
8;3191;7,65;42,28;767,70;2630,933;2494,338;136,594;116009800,000;69467600,000;46518840,000;45872,340;2111,529;47983,800;97;97,15;96,58
9;3095;7,65;47,56;772,98;2555,877;2424,108;131,770;116062400,000;69507060,000;46518840,000;44583,970;2040,024;46622,320;96;97,15;96,52
10;3000;7,65;52,84;778,25;2482,963;2354,207;128,756;116113200,000;69545130,000;46518840,000;43299,590;1996,376;45295,110;96;97,15;96,46
11;2906;7,65;58,12;783,53;2412,070;2284,707;127,363;116162100,000;69581820,000;46518840,000;42022,490;1978,489;44000,750;96;97,14;96,40
12;2815;7,65;63,39;788,81;2432,468;2300,077;132,390;116211000,000;69618510,000;46518840,000;42305,480;2022,793;44328,640;96;100,85;100,00
13;2724;7,66;68,67;794,09;2364,460;2230,613;133,847;116258100,000;69653860,000;46518840,000;41028,010;2050,722;43077,300;96;97,20;96,33
0;2635;7,60;0,00;799,31;2291,819;2161,253;130,566;231760900,000;138752500,000;93037680,000;39745,500;2014,681;41759,600
1;2545;7,32;5,53;804,83;2209,477;2093,415;116,063;231804600,000;138796200,000;93037680,000;38257,650;1794,815;40053,070;96;96,41;96,19
2;2457;7,39;10,95;810,26;2129,274;2025,629;103,645;231846500,000;138838100,000;93037680,000;37068,520;1603,879;38671,560;96;96,37;96,12
3;2370;7,41;16,39;815,69;2051,539;1958,537;93,003;231886800,000;138878400,000;93037680,000;35851,380;1442,154;37293,270;96;96,35;96,04
4;2284;7,41;21,83;821,13;1976,261;1891,873;84,388;231925500,000;138917100,000;93037680,000;34638,210;1309,395;35947,020;96;96,33;95,96
5;2201;7,42;27,26;826,57;1903,410;1825,937;77,473;231962500,000;138954100,000;93037680,000;33432,580;1204,915;34637,340;96;96,31;95,88
6;2118;7,42;32,70;832,01;1913,018;1837,892;75,126;231999600,000;138991200,000;93037680,000;33654,280;1148,811;34803,210;96;100,50;100,00
7;2038;7,42;38,14;837,45;1843,793;1772,076;71,718;232035100,000;139026700,000;93037680,000;32449,750;1098,204;33547,830;96;96,38;95,79
8;1958;7,43;43,58;842,89;1776,814;1706,827;69,988;232069000,000;139060700,000;93037680,000;31257,220;1071,970;32328,710;96;96,37;95,70
9;1881;7,43;49,02;848,33;1711,954;1642,381;69,573;232101500,000;139093100,000;93037680,000;30077,030;1067,806;31144,380;96;96,35;95,60
10;1805;7,43;54,46;853,77;1649,051;1578,598;70,453;232132500,000;139124200,000;93037680,000;28909,140;1082,747;29992,410;95;96,33;95,51
0;1731;7,60;0,00;859,15;1584,280;1515,512;68,768;463850500,000;277860900,000;186075400,000;27869,050;1063,560;28932,950
1;1658;7,39;5,47;864,62;1513,011;1453,434;59,578;463851700,000;277889100,000;186075400,000;26598,190;923,464;27521,550;95;95,50;95,29
2;1588;7,46;10,85;869,99;1443,935;1391,999;51,936;463854200,000;277916000,000;186075400,000;25506,600;806,483;26312,950;95;95,43;95,18
3;1518;7,48;16,23;875,38;1377,258;1331,446;45,812;463859700,000;277941500,000;186075400,000;24406,020;712,659;25118,370;95;95,38;95,06
4;1451;7,48;21,62;880,76;1382,503;1339,625;42,878;463869900,000;277967000,000;186075400,000;24559,600;655,068;25214,860;95;100,38;100,00
5;1385;7,49;27,00;886,15;1319,220;1279,582;39,638;463885200,000;277991200,000;186075400,000;23461,180;605,915;24067,160;95;95,42;94,94
6;1321;7,49;32,39;891,54;1258,227;1220,520;37,707;463907700,000;278014200,000;186075400,000;22379,230;577,404;22956,650;95;95,38;94,81
7;1258;7,49;37,78;896,93;1199,422;1162,419;37,004;463938300,000;278035900,000;186075400,000;21314,930;567,616;21882,430;95;95,33;94,67
