Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
6;15135;3,93;62,07;681,47;11926,63;10477,19;1449,446;23109870;14401230;8697550;178702,5;22415,51;201124,5;98;100,91;100
7;14921;3,93;72,41;691,81;11859,35;10467,85;1391,508;23309690;14575730;8719134;178487,2;21569,2;200076,5;98;99,44;98,39
8;14708;3,93;82,74;702,15;11801,9;10449,71;1352,193;23508420;14747410;8740040;178256,6;20933,03;199175,1;98;99,52;98,38
9;14497;3,93;93,08;712,49;11754,11;10430,27;1323,838;23706430;14931630;8760507;177915,7;20503,82;198417,9;98;99,6;98,37
10;14287;3,93;103,42;722,82;11715,64;10410,03;1305,613;23904420;15112830;8780757;177509;20276,09;197801,1;98;99,67;98,36
11;14079;3,93;113,76;733,16;11686,11;10381,15;1304,952;24102490;15291010;8800979;177048;20243,09;197319,2;98;99,75;98,34
12;13872;3,93;124,1;743,5;11664,95;10353,82;1311,137;24300060;15466220;8821314;176573;20396,31;196964,5;98;99,82;98,33
13;13667;3,93;134,43;753,84;11651,61;10320,4;1331,215;24496670;15638460;8842015;175994,5;20725,16;196727,5;98;99,89;98,31
14;13463;3,93;144,77;764,18;11847,63;10459,51;1388,125;24695660;15810710;8863415;178441;21406,66;199822,8;98;101,68;100
15;13261;3,68;165,4;784,81;11988,01;10561,71;1426,308;24895470;15994140;8885465;179168,9;22055,96;201219,7;98;101,18;98,3
0;13060;4,2;0;784,81;11825,71;10380,37;1445,337;46798290;29328310;17419690;178105,4;22430,78;200521,2;;;
1;12858;3,81;10,66;795,47;11676,25;10337,03;1339,223;47002560;29491830;17440470;175876,3;20764;196634,5;98;98,74;98,27
2;12657;3,82;21,26;806,07;11534,43;10292,06;1242,369;47205330;29679280;17459790;175123,1;19275,6;194418,5;98;98,79;98,25
3;12457;3,82;31,87;816,67;11401,66;10244,35;1157,309;47406700;29863430;17477760;174302;17974,81;192306,7;98;98,85;98,24
4;12259;3,83;42,48;827,28;11278,28;10193,33;1084,953;47607040;30044300;17494620;173464,9;16866,94;190328,6;98;98,92;98,22
5;12063;3,83;53,08;837,89;11164,43;10139,49;1024,937;47806920;30221930;17510650;172537,3;15954,29;188491,7;98;98,99;98,21
6;11868;3,83;63,69;848,5;11060,17;10080,03;980,137;48005230;30396350;17526090;171557;15237,15;186798,8;98;99,07;98,19
7;11674;3,83;74,3;859,11;11166,31;10206,07;960,237;48204440;30570760;17541190;173697,8;14826,83;188535,1;98;100,96;100
8;11483;3,83;84,91;869,72;11081,91;10144,01;937,908;48400120;30741990;17555950;172637,6;14497,88;187140,2;98;99,24;98,17
9;11293;3,83;95,52;880,33;11006,66;10078,92;927,736;48592210;30910060;17570490;171520;14354,82;185882,6;98;99,32;98,16
