mu,theta_deg,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,n_trials,S_mu_theta,total_capacity_blocks_per_hour_median,total_capacity_blocks_per_hour_ci_lower,total_capacity_blocks_per_hour_ci_upper,per_ramp_capacity_blocks_per_hour_median,per_ramp_capacity_blocks_per_hour_ci_lower,per_ramp_capacity_blocks_per_hour_ci_upper,utilization_median,utilization_ci_lower,utilization_ci_upper,mean_corner_queue_length_median,mean_corner_queue_length_ci_lower,mean_corner_queue_length_ci_upper,waiting_probability_median,waiting_probability_ci_lower,waiting_probability_ci_upper,blocking_probability_median,blocking_probability_ci_lower,blocking_probability_ci_upper,service_time_min_median,service_time_min_ci_lower,service_time_min_ci_upper,headway_arrival_min_median,headway_arrival_min_ci_lower,headway_arrival_min_ci_upper
0.3,8,1,Phase 1,16 straight edge-ramps,12,4,10000,1.3267439239087087,110.93931043110136,83.87717551249621,154.1423604785096,9.244942535925112,6.98976462604135,12.845196706542467,0.995,0.8132274194917013,0.995,117.75518705643711,1.7704387734435822,177.39269028348062,0.995,0.8132274194917013,0.995,0.29000000000000004,0.0,0.29000000000000004,4.6259014048172915,3.7523751261553606,6.094625826964557,3.996602982832421,3.0514003429035563,4.951704245748538
0.3,8,2,Phase 2,8 straight edge-ramps,6,2,10000,1.3267439239087087,53.57559475969576,40.78378929726536,75.1359648751106,8.929265793282628,6.797298216210892,12.522660812518435,0.995,0.8391764848776943,0.995,121.1616042282463,2.1894104559698264,182.5972708422747,0.995,0.8391764848776943,0.995,0.29000000000000004,0.0,0.29000000000000004,4.778010752364013,3.860706355352461,6.267195972867853,4.001123283976299,3.051098741740821,4.947355315118351
0.3,8,3a,Phase 3a,4 helical edge-ramps,3,1,10000,1.3267439239087087,15.881616451591132,11.260009744876815,21.30935613842379,5.293872150530377,3.753336581625605,7.10311871280793,0.995,0.995,0.995,202.29353530908304,134.56842502158852,316.1807714118635,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,8.047039820871273,5.997365625247496,11.34990145721908,3.9943754799125037,3.0475231156120692,4.947522944009457
0.3,8,3b,Phase 3b,2 helical edge-ramps,2,0,10000,1.3267439239087087,10.377922245542953,7.443282834904824,13.943369994447522,5.1889611227714765,3.721641417452412,6.971684997223761,0.995,0.995,0.995,205.72153519771422,138.1596289499012,320.2480196708358,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,8.209735821657173,6.110431101949891,11.44656222605955,3.9887940137676328,3.046055588260179,4.944567154168854
0.3,8,3c,Phase 3c,1 helical edge-ramp,1,0,10000,1.3267439239087087,3.8101198489424473,2.475801384233628,5.403564397700086,3.8101198489424473,2.475801384233628,5.403564397700086,0.995,0.995,0.995,281.9181367546706,180.20651827147626,466.7801635292758,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,11.180750658347495,7.88368507827165,17.206549877754682,4.000521141529004,3.0511998170437318,4.9533247740149395
0.15,6,1,Phase 1,16 straight edge-ramps,12,4,10000,0.7715786100154032,172.76855647106137,144.88319985326413,232.20219952804263,14.39737970592178,12.07359998777201,19.35018329400355,0.6882560505623336,0.4729389527628207,0.995,0.7597523485345627,0.2121872354733537,103.16414714949839,0.6882560505623336,0.4729389527628207,0.995,0.0,0.0,0.29000000000000004,2.6902302031894,2.18222396343497,3.544378714981672,3.996602982832421,3.0514003429035563,4.951704245748538
0.15,6,2,Phase 2,8 straight edge-ramps,6,2,10000,0.7715786100154032,85.43717033471714,72.04126520867922,115.04023099686029,14.239528389119524,12.00687753477987,19.173371832810048,0.7081658930740988,0.488029840643232,0.995,0.8592192471973974,0.2326045059858911,106.19091287338937,0.7081658930740988,0.488029840643232,0.995,0.0,0.0,0.29000000000000004,2.778690618824606,2.24522486190444,3.644738272622565,4.001123283976299,3.051098741740821,4.947355315118351
0.15,6,3a,Phase 3a,4 helical edge-ramps,3,1,10000,0.7715786100154032,21.7956795899589,14.229375252151902,32.261148126469486,7.265226529986301,4.743125084050634,10.753716042156496,0.995,0.9471547798035783,0.995,147.74871616807428,8.488016296923378,245.72235142969893,0.995,0.9471547798035783,0.995,0.29000000000000004,0.1943095596071566,0.29000000000000004,5.863547382181646,4.159781380169625,8.981420482848229,3.9943754799125037,3.0475231156120692,4.947522944009457
0.15,6,3b,Phase 3b,2 helical edge-ramps,2,0,10000,0.7715786100154032,14.31588114155084,9.486188859618998,20.839852999114754,7.15794057077542,4.743094429809499,10.419926499557377,0.995,0.9730081003501624,0.995,150.0409637593939,17.537583656148517,246.170213889178,0.995,0.9730081003501624,0.995,0.29000000000000004,0.24601620070032473,0.29000000000000004,5.9514324796073685,4.248691507975203,8.981478365941708,3.9887940137676328,3.046055588260179,4.944567154168854
0.15,6,3c,Phase 3c,1 helical edge-ramp,1,0,10000,0.7715786100154032,4.795487759875094,2.876232375420706,7.263308831978674,4.795487759875094,2.876232375420706,7.263308831978674,0.995,0.995,0.995,224.3163647872131,134.92456241281818,396.96904754931774,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,8.883350796209253,5.865095532580059,14.811042612125096,4.000521141529004,3.0511998170437318,4.9533247740149395
