scenario,duration_years
baseline,12.326307859745572
baseline,11.824486553954614
baseline,11.129919640186952
baseline,11.378271492194981
baseline,12.135615352676822
baseline,12.448196346622796
baseline,13.167520677577963
baseline,13.766449458353009
baseline,12.195112848933704
baseline,11.392645650492508
baseline,10.778854000899516
baseline,12.108702409033917
baseline,11.490607145524242
baseline,11.71426541549658
baseline,11.603048956226381
baseline,11.87127131920824
baseline,12.586469034282748
baseline,12.043925667471273
baseline,11.86100359254054
baseline,11.367203072149547
baseline,11.020468139367448
baseline,11.67403411735918
baseline,11.921465632137341
baseline,13.022230692533682
baseline,12.028305864312927
baseline,12.535776351444055
baseline,11.666684737087817
baseline,11.28522912566486
baseline,11.406142408242824
baseline,11.539578629209577
baseline,13.251913811222154
baseline,11.485903002060844
baseline,12.448415193559192
baseline,11.440584885180922
baseline,12.504718456928122
baseline,12.177711113472284
baseline,11.862152223147246
baseline,11.92899509727279
baseline,11.579056412768198
baseline,12.2138446003363
baseline,11.691778918752693
baseline,11.263005141736219
baseline,11.23446773514698
baseline,12.053000578022463
baseline,12.903531844932495
baseline,12.045643865437565
baseline,11.884030731118948
baseline,12.119339197126113
baseline,12.73379663669262
baseline,12.080369966094885
baseline,11.716782003403077
baseline,12.611090484585276
baseline,12.203596980713511
baseline,12.876446298108563
baseline,12.059222067496966
baseline,11.263625828939405
baseline,11.18543902945213
baseline,12.948557685901749
baseline,12.994309286413356
baseline,11.84899769067383
baseline,11.732552710123096
baseline,12.830132755844446
baseline,11.32792789435359
baseline,11.445134179614522
baseline,12.331194242976633
baseline,11.726058873149352
baseline,11.94962800846906
baseline,11.858238475790408
baseline,12.149777234131442
baseline,12.796606567596687
baseline,12.005188685631905
baseline,12.331560088862563
baseline,10.821711221749226
baseline,11.924393655589894
baseline,11.47374522249282
baseline,11.266714657463591
baseline,11.454335040846741
baseline,11.760498808655734
baseline,12.49522202065962
baseline,11.20810918044365
baseline,11.97035358648053
baseline,11.675244668892256
baseline,11.76417780998844
baseline,12.547948502861775
baseline,12.268462042551192
baseline,12.753195860722814
baseline,11.863378789102226
baseline,11.555974325929629
baseline,11.823548461276397
baseline,12.093912193402199
baseline,12.05532916544779
baseline,11.3403778268143
baseline,12.005133333722604
baseline,12.085550768088893
baseline,13.50430051509761
baseline,13.091190070284263
baseline,11.468176434977284
baseline,11.78718354941827
baseline,11.133893566963733
baseline,11.615088936936216
baseline,12.136845526611483
baseline,12.67211505074876
baseline,11.537420420763146
baseline,11.579416432889943
baseline,10.77089402227272
baseline,11.858685272013663
baseline,11.352465085385928
baseline,11.649645088137264
baseline,11.455052335269269
baseline,11.898086600074473
baseline,10.976195953354203
baseline,11.13194900290134
baseline,13.252413418312933
baseline,11.22930319286691
baseline,11.333563925435463
baseline,13.06586516618656
baseline,13.760577617528845
baseline,11.29255009252796
baseline,11.741054315943414
baseline,12.152122013220206
baseline,12.997480338299086
baseline,11.39412657531632
baseline,11.811274454203408
baseline,12.411565459034003
baseline,12.207152555548586
baseline,11.73655350911684
baseline,11.875283211161634
baseline,11.18178683154535
baseline,11.815343983769214
baseline,11.799190272279956
baseline,12.08785997009656
baseline,11.635031259133163
baseline,12.228931517833635
baseline,12.554007893895522
baseline,12.042980434211053
baseline,12.158132315918584
baseline,11.98342882015015
baseline,11.952643736577263
baseline,11.541631063993409
baseline,12.137368692517406
baseline,11.896341929347672
baseline,13.229246199286713
baseline,12.899943203465568
baseline,12.178239786925804
baseline,11.518431735951546
baseline,11.324981506817526
baseline,12.66308003942496
baseline,12.10579026332163
baseline,12.234033510711702
baseline,10.98319033982773
baseline,12.502212191713628
baseline,12.218788192174598
baseline,11.326069079438705
baseline,11.682405137610912
baseline,12.106358277692486
baseline,11.983028900380818
baseline,11.784447299295882
baseline,11.89276478632955
baseline,11.807437970413618
baseline,12.041307110010697
baseline,12.836385001668722
baseline,10.554197602096064
baseline,11.816102284454146
baseline,12.05529355811947
baseline,12.12531379188806
baseline,11.738967590894159
baseline,10.97673151204201
baseline,12.144137104443931
baseline,12.996631129267973
baseline,11.095952126347026
baseline,12.46371648489372
baseline,11.763691725904755
baseline,11.917106406456336
baseline,11.357703606339062
baseline,11.760309064146012
baseline,12.730119178028191
baseline,12.29497959866504
baseline,12.999758288900018
baseline,12.654652527057545
baseline,12.20970946606484
baseline,13.007087165889256
baseline,12.20965411561478
baseline,12.442079499629973
baseline,11.781933387267474
baseline,11.99120887585842
baseline,11.555144438842941
baseline,12.539936772025191
baseline,11.288862510253882
baseline,12.4145820005854
baseline,11.84260326657568
baseline,12.650870686298392
baseline,12.395649626786978
baseline,13.05556227621086
baseline,12.38358042764728
baseline,11.075436042505249
baseline,11.913853937954032
baseline,11.29230890714927
baseline,11.655950438967704
baseline,12.861141346062151
baseline,12.32773180293282
baseline,11.554300385786622
baseline,11.379298520814341
baseline,11.971601402982461
baseline,11.267945250278395
baseline,11.569879381737247
baseline,12.134730444188389
baseline,12.641100468716486
baseline,12.310549189935317
baseline,10.695986136716625
baseline,12.1302358096373
baseline,11.99439880986143
baseline,12.19480596096671
baseline,12.92677726662396
baseline,10.8148602256842
baseline,11.614865688949857
baseline,12.29989834959879
baseline,11.070307924773068
baseline,12.839159431347882
baseline,12.167919479453328
baseline,12.453301317152896
baseline,11.626224589295077
baseline,12.433502463045578
baseline,12.587989396977061
baseline,12.088274882457023
baseline,12.089167222222617
baseline,12.110247183401139
baseline,11.462560996543981
baseline,11.867393223069865
baseline,11.864519715554447
baseline,12.176791996012039
baseline,12.546163995278212
baseline,11.35459981965593
baseline,11.88035992681314
baseline,12.842587936996775
baseline,11.52930965597492
baseline,11.485422236653038
baseline,12.070375075157267
baseline,12.45197390278576
baseline,11.959216049904414
baseline,12.747979559498859
baseline,12.459466964476222
baseline,12.450425515618955
baseline,12.277981930723225
baseline,13.380546316663835
baseline,11.834273186881045
baseline,10.846206782257527
baseline,12.919285651790899
baseline,11.690239301801661
baseline,12.015256956078037
baseline,12.735987973652428
baseline,11.059224226700895
baseline,11.248795204697947
baseline,11.059750454987594
baseline,11.501088278362785
baseline,12.210034948603132
baseline,12.260181815847988
baseline,12.1137291946108
baseline,11.161278187801575
baseline,10.686238069544764
baseline,11.984124806748593
baseline,11.682262828869815
baseline,12.221729572409478
baseline,12.36629031566486
baseline,12.032951577118427
baseline,12.401217886706787
baseline,12.08612665268923
baseline,12.263675039850128
baseline,11.551083617342991
baseline,11.848944713999387
baseline,12.067140052660834
baseline,12.437580730474055
baseline,11.726550115810367
baseline,12.258386759656501
baseline,11.79950421621734
baseline,11.884662453563706
baseline,12.443002930532653
baseline,10.851707932328793
baseline,11.224377873603759
baseline,11.123782042505107
baseline,10.674067998017392
baseline,11.56588360564219
baseline,12.394787279929995
baseline,11.788612154825909
baseline,12.067733153501091
baseline,12.600657043710967
baseline,12.74719184150774
baseline,11.912591771684081
baseline,12.763209595032878
baseline,12.00608584253685
baseline,11.476989975712756
baseline,11.613009116781916
baseline,11.124671197982462
baseline,11.448793263264614
baseline,11.746881199327227
baseline,12.42736861012901
baseline,12.992484687632958
baseline,11.177838294612908
baseline,12.182361481174263
baseline,11.364508447523262
baseline,12.230804041304227
baseline,11.876859060140688
baseline,10.937332772163936
baseline,12.502732560718751
baseline,11.607041842243682
baseline,11.647125615419817
baseline,11.34842716264091
baseline,11.579339607735381
baseline,12.20308470279667
baseline,11.843411130017541
baseline,12.144529463660971
baseline,12.164124728379502
baseline,12.74285102627479
baseline,11.75555978965175
baseline,11.126655179594973
baseline,12.587227070775555
baseline,11.762001713236188
baseline,12.616168631439047
baseline,12.176782108602264
baseline,11.876829756600738
baseline,12.156375900179501
baseline,13.138359552155116
baseline,13.218864804893602
baseline,11.99285688905196
baseline,12.045760041930546
