trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
9699,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.0008687752787364,3.874600077831833,2.389089707893318,6.285704425356026,0.2580911526124742,0.15909115865615323,0.995,6.777283358752127,13.554566717504255,161.41732766208577,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9700,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.8680723886786972,4.110582397235813,2.6557058528512716,7.148418731251003,0.2432745298263468,0.1398910776768383,0.995,5.959359909033312,11.918719818066624,173.03330648177018,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9701,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1812911816986273,3.5603459238742063,3.0823430292628697,6.383815232239979,0.2808715842172565,0.15664613771240307,0.995,6.67312546654837,13.34625093309674,178.40671361413465,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9702,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.7619584429790244,3.2117406176618193,2.3169995164593535,7.435388893119048,0.31135764653622944,0.13449195655730029,0.995,5.729357349340992,11.458714698681984,230.3489860908949,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9703,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.8742625247464039,3.5493369344211634,2.953867005077446,7.414769639708008,0.28174276448710356,0.13486595654229655,0.995,5.745289748701833,11.490579497403665,207.8612407844745,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9704,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1923383238724348,4.87904830748949,3.0400564482925816,6.310940157988095,0.204958003482968,0.15845499639768354,0.995,6.750182846541319,13.500365693082639,128.7010306407317,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9705,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.0721407391231095,4.862801339231188,2.93894559207596,6.576527728157984,0.20564278288162613,0.15205592393664086,0.995,6.4775823597009,12.9551647194018,134.56533863980022,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9706,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1781443338917823,3.366750950740361,1.81149781703336,5.121788320334487,0.29702226705545187,0.1952443048124045,0.995,8.317407385008432,16.634814770016863,151.36787523924636,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9707,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1201866750397533,3.2173648349501374,3.532909169907687,7.014471740594038,0.3108133678646046,0.1425624105394589,0.995,6.073158688980949,12.146317377961898,216.92906275577005,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9708,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1641999444160676,3.150578674699036,2.680347912079812,6.030287944894484,0.31740200872638946,0.1658295605679403,0.995,7.064339280194257,14.128678560388513,190.44553793734983,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
